字段1,字段2,字段3
"
          问
          二押如何保证债权人的权益        ","二押应按以下方式来保证债权人的权益：当事人双方可以在合同中提前约定好禁止债务人二次抵押或者二次抵押后债务人的责任。

双方可以在合同中，将债务人的二押行为作为禁止性行为。把禁止债务人进行二押作为条款写入借款合同，一旦发现债务人有二次抵押行为，债权人可以提前终止合同。

根据《民法典》第四百一十四条规定，同一财产向两个以上债权人抵押的，拍卖、变卖抵押财产所得的价款依照下列规定清偿：

（一）抵押权已经登记的，按照登记的时间先后确定清偿顺序；

（二）抵押权已经登记的先于未登记的受偿；

（三）抵押权未登记的，按照债权比例清偿。

其他可以登记的担保物权，清偿顺序参照适用前款规定。","
                  法律依据：
                  《民法典》第四百一十四条                "
"
          问
          伪造借条怎么鉴定时间        ","伪造借条，可以通过以下方式鉴定时间：

1、受害人可以查证实际的资金流动。任何资金的流动，都会流下财务痕迹；

2、受害人可以申请技术鉴定。受害人可以向有司法鉴定资格的机构申请司法鉴定。

根据《民法典》第一百五十三条规定，违反法律、行政法规的强制性规定的民事法律行为无效。但是，该强制性规定不导致该民事法律行为无效的除外。

违背公序良俗的民事法律行为无效。

第一百五十四条规定，行为人与相对人恶意串通，损害他人合法权益的民事法律行为无效。","
                  法律依据：
                  《民法典》第一百五十三条《民法典》第一百五十四条                "
"
          问
          还钱了没收回欠条又让还怎么办        ","还钱了没收回欠条又让还的，还款人可以从其他方面证明自己的还款行为。如通过银行转账还款的，可以提供存款凭证或调取银行的流水明细予以证明；如果是现金还款的，有第三方在场的，可由第三方提供证人证言予以证明；还可以提供已经还款的聊天记录、电话录音等。

根据《民事诉讼法》第六十三条规定，证据包括：

（一）当事人的陈述；

（二）书证；

（三）物证；

（四）视听资料；

（五）电子数据；

（六）证人证言；

（七）鉴定意见；

（八）勘验笔录。

证据必须查证属实，才能作为认定事实的根据。","
                  法律依据：
                  《民事诉讼法》第六十三条                "
"
          问
          债务人死亡债务如何处理        ","债务人死亡后，如果留有遗产，应首先将债务人的遗产用于清偿债务，如果遗产已经发生继承，则由各继承人在自己继承的遗产份额内承担被继承人生前的合法债务，如果遗产不足以清偿债务，继承人可以自愿偿还，不愿偿还的，未清偿的债权不予消灭。

根据《民法典》第一千一百五十九条规定，分割遗产，应当清偿被继承人依法应当缴纳的税款和债务；但是，应当为缺乏劳动能力又没有生活来源的继承人保留必要的遗产。

第一千一百六十一条规定，继承人以所得遗产实际价值为限清偿被继承人依法应当缴纳的税款和债务。超过遗产实际价值部分，继承人自愿偿还的不在此限。","
                  法律依据：
                  《中华人民共和国民法典》第一千一百五十九条、第一千一百六十一条                "
"
          问
          破产债权清偿顺序是怎样的        ","破产债权清偿顺序：

1、破产人所欠职工的工资和医疗、伤残补助、抚恤费用，所欠的应当划入职工个人账户的基本养老保险、基本医疗保险费用，以及法律、行政法规规定应当支付给职工的补偿金。

2、破产人欠缴的除前项规定以外的社会保险费用和破产人所欠税款。

3、普通破产债权。

根据《破产法》第一百一十三条的规定，破产财产在优先清偿破产费用和共益债务后，依照下列顺序清偿：

一、破产人所欠职工的工资和医疗、伤残补助、抚恤费用，所欠的应当划入职工个人账户的基本养老保险、基本医疗保险费用，以及法律、行政法规规定应当支付给职工的补偿金；

二、破产人欠缴的除前款规定以外的社会保险费用和破产人所欠税款；

三、普通破产债权。破产财产不足以清偿同一顺序的清偿要求，按照比例分配。","
                  法律依据：
                  《破产法》第一百一十三条                "
"
          问
          破产债权确认纠纷收费标准是多少        ","破产债权确认纠纷收费标准：职工破产债权确认纠纷属于劳动争议案件，劳动争议案件每件交纳10元。普通破产债权确认纠纷属于财产案件，应根据案件诉讼请求的金额或者价额进行收费。

《诉讼费用交纳办法》第十四条

申请费分别按照下列标准交纳:

(一)依法向人民法院申请执行人民法院发生法律效力的判决、裁定、调解书，仲裁机构依法作出的裁决和调解书，公证机关依法赋予强制执行效力的债权文书，申请承认和执行外国法院判决、裁定以及国外仲裁机构裁决的，按照下列标准交纳:

1、没有执行金额或者价额的，每件交纳50元至500元。

2、执行金额或者价额不超过1万元的，每件交纳50元；超过1万元至50万元的部分，按照1.5%交纳;超过50万元至500万元的部分，按照1%交纳；超过500万元至1000万元的部分，按照0.5%交纳。","
                  法律依据：
                  《诉讼费用交纳办法》第十四条                "
"
          问
          借款人不还钱担保人可以起诉借款人吗        ","借款人不还钱，担保人可以起诉借款人，但是需要在担保人承担了应承担的保证责任后，借款人不向保证人在其保证责任的范围内偿还的，保证人才可以向法院起诉借款人。

《民法典》第六百八十七条

当事人在保证合同中约定，债务人不能履行债务时，由保证人承担保证责任的，为一般保证。

《民法典》第六百八十八条

当事人在保证合同中约定保证人和债务人对债务承担连带责任的，为连带责任保证。

连带责任保证的债务人不履行到期债务或者发生当事人约定的情形时，债权人可以请求债务人履行债务，也可以请求保证人在其保证范围内承担保证责任。","
                  法律依据：
                  《中华人民共和国民法典》第六百八十七条《中华人民共和国民法典》第六百八十八条                "
"
          问
          工程欠款纠纷律师费怎么收取        ","工程欠款纠纷律师费是以标的的比例为依据进行收取的，根据法律规定，律师事务所应当根据律师承办业务的繁简程度，需时长短、标的大小、律师专业职务等级、委托人指定等情况，在收费标准范围内，确定具体收费标准，计算收费数额。

《律师服务收费管理办法》第三条

律师事务所应当根据律师承办业务的繁简程度，需时长短、标的大小、律师专业职务等级、委托人指定等情况，在收费标准范围内，确定具体收费标准，计算收费数额。

应委托人的要求，律师事务所应当提供《收费说明》，写明委托事项，收费金额，计算方法、支付时间以及其他有关事项。","
                  法律依据：
                  《律师服务收费管理办法》第三条                "
"
          问
          申请法院强制执行程序是什么        ","申请法院强制执行程序:

1、申请。发生法律效力的民事判决、裁定以及刑事判决、裁定，当事人必须履行。一方拒绝履行的，对方当事人可依法向人民法院申请执行，也可以由审判员移送执行员执行。

2、法院受理。

3、申请复议。

4、向被执行人发出执行通知。

5、采取强制措。

《民事诉讼法》第二百三十八条

对公证机关依法赋予强制执行效力的债权文书，一方当事人不履行的，对方当事人可以向有管辖权的人民法院申请执行，受申请的人民法院应当执行。

公证债权文书确有错误的，人民法院裁定不予执行，并将裁定书送达双方当事人和公证机关。","
                  法律依据：
                  《中华人民共和国民事诉讼法》第二百三十八条                "
"
          问
          有网贷未结清可以做担保人吗        ","有网贷未结清可以做担保人。如果本人的收入足以替他人担保办理贷款的，信用状况良好的，具备一定的还款能力，银行或其他贷款机构可以准许其担保，具体能否做担保人要看贷款银行或者其他贷款机构的审核。

《民法典》第三百八十七条

债权人在借贷、买卖等民事活动中，为保障实现其债权，需要担保的，可以依照本法和其他法律的规定设立担保物权。

第三人为债务人向债权人提供担保的，可以要求债务人提供反担保。反担保适用本法和其他法律的规定。","
                  法律依据：
                  《中华人民共和国民法典》第三百八十七条                "
"
          问
          签了债务转让协议是否有效        ","签了债务转让协议，需要经过债权人的同意，转让才生效。

根据《民法典》第五百五十一条规定，债务人将债务的全部或者部分转让给第三人的，应当经债权人同意。

债务人或者第三人可以催告债权人在合理期限内予以同意，债权人未作表示的，视为不同意。

第五百五十二条规定，第三人与债务人约定加入债务并通知债权人，或者第三人向债权人表示愿意加入债务，债权人未在合理期限内明确拒绝的，债权人可以请求第三人在其意愿承担的债务范围内和债务人承担连带债务。","
                  法律依据：
                  《中华人民共和国民法典》第五百五十一条                "
"
          问
          欠款诉讼期限是怎么规定的        ","欠款诉讼期限适用普通诉讼时效，即三年。

《民法典》第一百八十八条

向人民法院请求保护民事权利的诉讼时效期间为三年。法律另有规定的，依照其规定。

诉讼时效期间自权利人知道或者应当知道权利受到损害以及义务人之日起计算。法律另有规定的，依照其规定。但是，自权利受到损害之日起超过二十年的，人民法院不予保护，有特殊情况的，人民法院可以根据权利人的申请决定延长。","
                  法律依据：
                  《中华人民共和国民法典》第一百八十八条                "
"
          问
          欠款纠纷管辖法院起诉流程怎么走        ","欠款纠纷管辖法院起诉流程：

1、因欠款纠纷起诉的，需符合法律规定的条件；

2、起诉应当提交起诉状，并按照被告人数提出副本。书写起诉状确有困难的，可以口头起诉，由人民法院记入笔录，并告知对方当事人；

3、法院立案受理，并开庭审理；

4、法院作出判决。

《民事诉讼法》第一百一十九条

起诉必须符合下列条件：

（一）原告是与本案有直接利害关系的公民、法人和其他组织；

（二）有明确的被告；

（三）有具体的诉讼请求和事实、理由；

（四）属于人民法院受理民事诉讼的范围和受诉人民法院管辖。

第一百二十条

起诉应当向人民法院递交起诉状，并按照被告人数提出副本。书写起诉状确有困难的，可以口头起诉，由人民法院记入笔录，并告知对方当事人。","
                  法律依据：
                  《中华人民共和国民事诉讼法》第一百一十九条                "
"
          问
          债权转让后的管辖法院        ","债权转让后的管辖，可以由被告住所地或经常居住地、合同履行地的人民法院管辖，也可以约定管辖法院。因合同纠纷提起的诉讼，由被告住所地或者合同履行地人民法院管辖。

《民事诉讼法》第二十一条

对公民提起的民事诉讼，由被告住所地人民法院管辖；被告住所地与经常居住地不一致的，由经常居住地人民法院管辖。

第二十三条

因合同纠纷提起的诉讼，由被告住所地或者合同履行地人民法院管辖。

第三十四条

合同或者其他财产权益纠纷的当事人可以书面协议选择被告住所地、合同履行地、合同签订地、原告住所地、标的物所在地等与争议有实际联系的地点的人民法院管辖，但不得违反本法对级别管辖和专属管辖的规定。","
                  法律依据：
                  《中华人民共和国民事诉讼法》第二十一条、第二十三条、第三十四条                "
"
          问
          债权人撤销权的成立条件        ","债权人撤销权的成立要件如下：

1、债权人对债务人享有合法有效的债权；

2、债务人实施了有害于债权人债权实现的财产处分行为；

3、债权人在除斥期间行使撤销权；

4、债权人以自己的债权为限行使撤销权。

《民法典》第五百三十八条  

债务人以放弃其债权、放弃债权担保、无偿转让财产等方式无偿处分财产权益，或者恶意延长其到期债权的履行期限，影响债权人的债权实现的，债权人可以请求人民法院撤销债务人的行为。

第五百四十条  

撤销权的行使范围以债权人的债权为限。债权人行使撤销权的必要费用，由债务人负担。","
                  法律依据：
                  《中华人民共和国民法典》第五百三十八条  《中华人民共和国民法典》第五百四十条                "
"
          问
          债权债务继承范围是如何确定的        ","债权债务继承范围：如果民间借贷的借款人死亡，且留有遗产，继承人以遗产实际价值为限，向出借人清偿债务。如果没有遗产，继承人不承担清偿债务的责任。

根据《民法典》第一千一百六十一条规定，继承人以所得遗产实际价值为限清偿被继承人依法应当缴纳的税款和债务。超过遗产实际价值部分，继承人自愿偿还的不在此限。

继承人放弃继承的，对被继承人依法应当缴纳的税款和债务能够不负清偿责任。","
                  法律依据：
                  《中华人民共和国民法典》第一千一百六十一条                "
"
          问
          租赁合同欠款纠纷怎么打官司        ","租赁合同欠款纠纷打官司注意：

1、协议选择被告住所地、合同履行地、合同签订地、原告住所地、标的物所在地等与争议有实际联系的地点的人民法院管辖，但不得违反法律对级别管辖和专属管辖的规定；

2、确定租赁合同本身的效力，是否存在无效和可撤销的情形；

3、确定诉讼标的，具体欠款的本金、利息甚至违约金等，并准备好欠款事实的证据。

《民事诉讼法》第二十三条

因合同纠纷提起的诉讼，由被告住所地或者合同履行地人民法院管辖。

第三十四条

合同或者其他财产权益纠纷的当事人可以书面协议选择被告住所地、合同履行地、合同签订地、原告住所地、标的物所在地等与争议有实际联系的地点的人民法院管辖，但不得违反本法对级别管辖和专属管辖的规定。","
                  法律依据：
                  《中华人民共和国民事诉讼法》第二十三条《中华人民共和国民事诉讼法》第三十四条                "
"
          问
          民间借贷在原告方起诉的条件        ","民间借贷在原告方起诉的条件：

1、合同履行地为原告方所在地的。

2、借贷双方在书面协议中约定原告所在地为管辖法院的。

因合同纠纷提起的诉讼，由被告住所地或者合同履行地人民法院管辖。

《民事诉讼法》第二十三条

因合同纠纷提起的诉讼，由被告住所地或者合同履行地人民法院管辖。

第三十四条

合同或者其他财产权益纠纷的当事人可以书面协议选择被告住所地、合同履行地、合同签订地、原告住所地、标的物所在地等与争议有实际联系的地点的人民法院管辖，但不得违反本法对级别管辖和专属管辖的规定。","
                  法律依据：
                  《中华人民共和国民事诉讼法》第二十三条                "
"
          问
          借条诉讼有效期是多久        ","如果借条约定了还款日期，诉讼时效自期限届满之日起三年；如果没有约定还款日期，债权人可以随时向债务人主张债权，诉讼时效为向债务人主张权利而债务人拒绝履行之日起三年。

《民法典》第一百八十八条

向人民法院请求保护民事权利的诉讼时效期间为三年。法律另有规定的，依照其规定。

诉讼时效期间自权利人知道或者应当知道权利受到损害以及义务人之日起计算。法律另有规定的，依照其规定。但是，自权利受到损害之日起超过二十年的，人民法院不予保护，有特殊情况的，人民法院可以根据权利人的申请决定延长。","
                  法律依据：
                  《中华人民共和国民法典》第一百八十八条                "
﻿"
          问
          法院强制执行程序有哪些步骤        ","法院强制执行程序：申请人申请执行后，法院将执行工作交由执行员执行，执行员根据判决、裁决的内容，选择强制执行的手段，在采取强制措施前，应当向被执行人发出执行通知，之后可以立即采取强制执行措施，如扣押、冻结、划拨、变价财产等，执行完毕后，应当将执行情况制作笔录，由在场的有关人员签名或者盖章。

《民事诉讼法》第二百二十八条

执行工作由执行员进行。

采取强制执行措施时，执行员应当出示证件。执行完毕后，应当将执行情况制作笔录，由在场的有关人员签名或者盖章。

第二百四十条

执行员接到申请执行书或者移交执行书，应当向被执行人发出执行通知，并可以立即采取强制执行措施。","
                  法律依据：
                  《中华人民共和国民事诉讼法》第二百二十八条《中华人民共和国民事诉讼法》第二百四十条                "
"
          问
          民间借贷到期不还怎么办        ","民间借贷到期不还，首先，和债务人协商解决，如果债务人信誉良好，可以约定延期履行或分期还款；其次，如果债务人还款态度消极，可以通过发送律师函等比较正式的方式要求还款；最后，债务人逃避还款，债权人多次催告无效，债权人可起诉请求债务人履行债务。

《民法典》第一百七十六条

民事主体依照法律规定或者按照当事人约定，履行民事义务，承担民事责任。

第一百八十八条

向人民法院请求保护民事权利的诉讼时效期间为三年。法律另有规定的，依照其规定。","
                  法律依据：
                  《中华人民共和国民法典》第一百七十六条《中华人民共和国民法典》第一百八十八条                "
"
          问
          借钱没有借条有证人可以起诉吗        ","借钱没有借条有证人可以起诉。

证人也是证据的一种，但是是否胜诉则要看借款事实是否真实，相关证据是否能充分证明该事实。当事人可以尽可能多的依法收集证据，因客观原因不能收集的，可以请求法院调查收集。

《民事诉讼法》第六十四条

当事人对自己提出的主张，有责任提供证据。当事人及其诉讼代理人因客观原因不能自行收集的证据，或者人民法院认为审理案件需要的证据，人民法院应当调查收集。人民法院应当按照法定程序，全面地、客观地审查核实证据。","
                  法律依据：
                  《中华人民共和国民事诉讼法》第六十四条                "
"
          问
          担保人还钱后可起诉借钱人吗        ","担保人还钱后可起诉借钱人。保证人承担保证责任后，除当事人另有约定外，有权在其承担保证责任的范围内向债务人追偿，享有债权人对债务人的权利，但是不得损害债权人的利益。

《民法典》第六百八十九条

保证人可以要求债务人提供反担保。

第七百条

保证人承担保证责任后，除当事人另有约定外，有权在其承担保证责任的范围内向债务人追偿，享有债权人对债务人的权利，但是不得损害债权人的利益。","
                  法律依据：
                  《中华人民共和国民法典》第六百八十九条《中华人民共和国民法典》第七百条                "
"
          问
          欠款诉讼管辖法院如何确定        ","欠款诉讼管辖法院确定，合同或者其他财产权益纠纷的当事人可以书面协议选择被告住所地、合同履行地、合同签订地、原告住所地、标的物所在地等与争议有实际联系的地点的人民法院管辖。

《民事诉讼法》第二十三条

因合同纠纷提起的诉讼，由被告住所地或者合同履行地人民法院管辖。

第三十四条

合同或者其他财产权益纠纷的当事人可以书面协议选择被告住所地、合同履行地、合同签订地、原告住所地、标的物所在地等与争议有实际联系的地点的人民法院管辖，但不得违反本法对级别管辖和专属管辖的规定。","
                  法律依据：
                  《中华人民共和国民事诉讼法》第二十三条《中华人民共和国民事诉讼法》第三十四条                "
"
          问
          已经还钱但欠条没有收回怎么办        ","已经还钱但欠条没有收回，首先应向债权人索要或请求销毁并保留证据，如果对方拒绝，债务人应当积极搜集证据，如还钱时的见证人、转账记录或汇款单据、与还款有关的聊天记录等一切可以证明还款事实的证据，只要能向法院证明已经向对方清偿了债务，法院就不会判令再次还钱。

《民事诉讼法》第六十四条

当事人对自己提出的主张，有责任提供证据。当事人及其诉讼代理人因客观原因不能自行收集的证据，或者人民法院认为审理案件需要的证据，人民法院应当调查收集。人民法院应当按照法定程序，全面地、客观地审查核实证据。","
                  法律依据：
                  《中华人民共和国民事诉讼法》第六十四条                "
"
          问
          欠钱判刑后还要还吗        ","欠钱判刑后还需要清偿债务。判刑属于刑事责任，清偿债务属于民事责任，两者互不影响，被追究刑事责任也不影响民事责任的承担。债务人延期履行债务的，还可能承担违约金或延期履行产生的滞纳金和利息。

《民法典》第一百八十七条

民事主体因同一行为应当承担民事责任、行政责任和刑事责任的，承担行政责任或者刑事责任不影响承担民事责任；民事主体的财产不足以支付的，优先用于承担民事责任。","
                  法律依据：
                  《中华人民共和国民法典》第一百八十七条                "
"
          问
          债务纠纷原告可以不出庭吗        ","在债务纠纷中，原告不可以不出庭。如果原告是无正当理由不到庭的，法院可以按撤诉处理。如果原告是必须到庭的当事人，但有正当理由的，可以向法院申请延期审理，法院可以决定延期审理。

《民事诉讼法》第一百四十三条

原告经传票传唤，无正当理由拒不到庭的，或者未经法庭许可中途退庭的，可以按撤诉处理；被告反诉的，可以缺席判决。

第一百四十六条

有下列情形之一的，可以延期开庭审理：

（一）必须到庭的当事人和其他诉讼参与人有正当理由没有到庭的；

（二）当事人临时提出回避申请的；

（三）需要通知新的证人到庭，调取新的证据，重新鉴定、勘验，或者需要补充调查的；

（四）其他应当延期的情形。","
                  法律依据：
                  《中华人民共和国民事诉讼法》第一百四十三条《中华人民共和国民事诉讼法》第一百四十六条                "
"
          问
          债务过了诉讼时效期怎么办        ","债务过了诉讼时效期的，可以与对方协商还款的方式和还款的时间，协商一致签订协议。如果对方不按协议进行还款的可以在三年内向人民法院起诉要求对方还款。

《民法典》第一百九十五条

有下列情形之一的，诉讼时效中断，从中断、有关程序终结时起，诉讼时效期间重新计算：

（一）权利人向义务人提出履行请求；

（二）义务人同意履行义务；

（三）权利人提起诉讼或者申请仲裁；

（四）与提起诉讼或者申请仲裁具有同等效力的其他情形。","
                  法律依据：
                  《中华人民共和国民法典》第一百九十五条                "
"
          问
          破产债权范围包括哪些        ","破产债权范围包括破产费用、共益债务、税款、普通破产债权以及职工破产债权等。

《中华人民共和国破产法》第四十八条

债权人应当在人民法院确定的债权申报期限内向管理人申报债权。

债务人所欠职工的工资和医疗、伤残补助、抚恤费用，所欠的应当划入职工个人账户的基本养老保险、基本医疗保险费用，以及法律、行政法规规定应当支付给职工的补偿金，不必申报，由管理人调查后列出清单并予以公示。职工对清单记载有异议的，可以要求管理人更正；管理人不予更正的，职工可以向人民法院提起诉讼。","
                  法律依据：
                  《中华人民共和国破产法》第四十八条                "
"
          问
          债务纠纷被告人不出庭怎么办        ","债务纠纷被告人不出庭的，人民法院可以进行缺席判决，如果该被告人必须出庭的，经人民法院两次传票传唤，无正当理由拒不到庭的，人民法院可以拘传其到庭。

《民事诉讼法》第一百零九条

人民法院对必须到庭的被告，经两次传票传唤，无正当理由拒不到庭的，可以拘传。

第一百四十四条

被告经传票传唤，无正当理由拒不到庭的，或者未经法庭许可中途退庭的，可以缺席判决。

第一百四十五条

宣判前，原告申请撤诉的，是否准许，由人民法院裁定。人民法院裁定不准许撤诉的，原告经传票传唤，无正当理由拒不到庭的，可以缺席判决。","
                  法律依据：
                  《中华人民共和国民事诉讼法》第一百零九条                "
"
          问
          既有人保又有物保的实现顺序        ","既有人保又有物保的实现顺序：债务人不履行到期债务或者发生当事人约定的实现担保物权的情形，债权人应当按照约定实现债权；没有约定或者约定不明确，债务人自己提供物的担保的，债权人应当先就该物的担保实现债权

《民法典》第三百九十二条

被担保的债权既有物的担保又有人的担保的，债务人不履行到期债务或者发生当事人约定的实现担保物权的情形，债权人应当按照约定实现债权；没有约定或者约定不明确，债务人自己提供物的担保的，债权人应当先就该物的担保实现债权；第三人提供物的担保的，债权人可以就物的担保实现债权，也可以请求保证人承担保证责任。提供担保的第三人承担担保责任后，有权向债务人追偿。","
                  法律依据：
                  《中华人民共和国民法典》第三百九十二条                "
"
          问
          破产债权分配顺序是怎样的        ","破产债权分配顺序：

1、破产人所欠职工的工资和医疗、伤残补助、抚恤费用，所欠的应当划入职工个人账户的基本养老保险、基本医疗保险费用，以及法律、行政法规规定应当支付给职工的补偿金；

2、破产人欠缴的除前项规定以外的社会保险费用和破产人所欠税款；

3、普通破产债权。

《中华人民共和国破产法》第一百一十三条

破产财产在优先清偿破产费用和共益债务后，依照下列顺序清偿：

（一）破产人所欠职工的工资和医疗、伤残补助、抚恤费用，所欠的应当划入职工个人账户的基本养老保险、基本医疗保险费用，以及法律、行政法规规定应当支付给职工的补偿金；

（二）破产人欠缴的除前项规定以外的社会保险费用和破产人所欠税款；

（三）普通破产债权。","
                  法律依据：
                  《中华人民共和国破产法》第一百一十三条                "
"
          问
          股东的破产债权如何处理        ","股东的破产债权，可以通过债权申报，和其他普通债权人一起参与破产财产分配。

《公司法》第一百八十五条

清算组应当自成立之日起十日内通知债权人，并于六十日内在报纸上公告。债权人应当自接到通知书之日起三十日内，未接到通知书的自公告之日起四十五日内，向清算组申报其债权。

债权人申报债权，应当说明债权的有关事项，并提供证明材料。清算组应当对债权进行登记。

在申报债权期间，清算组不得对债权人进行清偿。","
                  法律依据：
                  《中华人民共和国公司法》第一百八十五条                "
"
          问
          法院欠款起诉流程怎么走        ","法院欠款起诉流程：

1、因欠款而起诉至法院的，需先确定符合法律规定的条件；

2、起诉应当提交起诉状，并按照被告人数提出副本。书写起诉状确有困难的，可以口头起诉，由人民法院记入笔录，并告知对方当事人；

3、法院立案受理，并开庭审理；

4、法院作出判决。

《民事诉讼法》第一百一十九条

起诉必须符合下列条件：

（一）原告是与本案有直接利害关系的公民、法人和其他组织；

（二）有明确的被告；

（三）有具体的诉讼请求和事实、理由；

（四）属于人民法院受理民事诉讼的范围和受诉人民法院管辖。","
                  法律依据：
                  《中华人民共和国民事诉讼法》第一百一十九条                "
"
          问
          催收欠款合同诉讼时效为几年        ","催收欠款合同诉讼时效为三年，自权利人知道或者应当知道权利受到损害以及义务人之日起计算。

《民法典》第一百八十八条

向人民法院请求保护民事权利的诉讼时效期间为三年。法律另有规定的，依照其规定。

诉讼时效期间自权利人知道或者应当知道权利受到损害以及义务人之日起计算。法律另有规定的，依照其规定。但是，自权利受到损害之日起超过二十年的，人民法院不予保护，有特殊情况的，人民法院可以根据权利人的申请决定延长。","
                  法律依据：
                  《中华人民共和国民法典》第一百八十八条                "
"
          问
          法院强制执行的期限为多长时间        ","申请法院强制执行的期限为两年。

《民事诉讼法》第二百三十九条

申请执行的期间为二年。申请执行时效的中止、中断，适用法律有关诉讼时效中止、中断的规定。

前款规定的期间，从法律文书规定履行期间的最后一日起计算；法律文书规定分期履行的，从规定的每次履行期间的最后一日起计算；法律文书未规定履行期间的，从法律文书生效之日起计算。","
                  法律依据：
                  《中华人民共和国民事诉讼法》第二百三十九条                "
"
          问
          买卖合同欠款纠纷证据如何收集        ","买卖合同欠款纠纷可以对应当事人提出的主张来收集证据，且证据的收集应当合法，比如相应的证据包括对方当事人的身份信息、有效的合同、给付货物的收据等。

《民事诉讼法》第六十三条

证据包括：

（一）当事人的陈述；

（二）书证；

（三）物证；

（四）视听资料；

（五）电子数据；

（六）证人证言；

（七）鉴定意见；

（八）勘验笔录。

证据必须查证属实，才能作为认定事实的根据。","
                  法律依据：
                  《中华人民共和国民事诉讼法》第六十三条                "
"
          问
          签订工程欠款合同要注意什么        ","签订工程欠款合同要注意：

1、填写工程进度款条款应符合法律的相关规定；

2、工程进度款的拨付应以发包方代表确认的已完工程量，相应的单价及有关计价依据计算；

3、工程进度款的支付时间与支付方式以形象进度可选择：按月结算、分段结算、竣工后一次结算及其它结算方式。

《民法典》第八百零七条，发包人未按照约定支付价款的，承包人可以催告发包人在合理期限内支付价款。发包人逾期不支付的，除根据建设工程的性质不宜折价、拍卖外，承包人可以与发包人协议将该工程折价，也可以请求人民法院将该工程依法拍卖。建设工程的价款就该工程折价或者拍卖的价款优先受偿。","
                  法律依据：
                  《中华人民共和国民法典》第八百零七条                "
"
          问
          借款有担保人的起诉书如何写        ","借款有担保人的起诉书需要包含如下内容：

1、标题：起诉书；

2、借款双方及担保人的身份信息；

3、本人的诉讼请求；

4、写明借款事实、担保情况（如借款金额、还款日期、担保金额等）以及本人的起诉理由；

5、管辖的法院；

6、签名与填日期。

《民事诉讼法》第一百二十一条

起诉状应当记明下列事项：

（一）原告的姓名、性别、年龄、民族、职业、工作单位、住所、联系方式，法人或者其他组织的名称、住所和法定代表人或者主要负责人的姓名、职务、联系方式；

（二）被告的姓名、性别、工作单位、住所等信息，法人或者其他组织的名称、住所等信息；

（三）诉讼请求和所根据的事实与理由；

（四）证据和证据来源，证人姓名和住所。","
                  法律依据：
                  《中华人民共和国民事诉讼法》第一百二十一条                "
"
          问
          欠款起诉条件是什么        ","欠款起诉条件：

1、原告是与本案有直接利害关系的公民、法人和其他组织；

2、有明确的被告；

3、有具体的诉讼请求和事实、理由；

4、属于人民法院受理民事诉讼的范围和受诉人民法院管辖。

《民事诉讼法》第一百一十九条

起诉必须符合下列条件：

（一）原告是与本案有直接利害关系的公民、法人和其他组织；

（二）有明确的被告；

（三）有具体的诉讼请求和事实、理由；

（四）属于人民法院受理民事诉讼的范围和受诉人民法院管辖。","
                  法律依据：
                  《中华人民共和国民事诉讼法》第一百一十九条                "
"
          问
          欠钱坐牢后还要还钱吗        ","欠钱坐牢后还要还钱。坐牢是承担刑事责任，刑事责任的承担不免除当事人的民事赔偿责任。

当事人应当在有偿还能力的时候及时还款，暂无还款能力的，可以与贷款人约定分期偿还。

《民法典》第一百八十七条

民事主体因同一行为应当承担民事责任、行政责任和刑事责任的，承担行政责任或者刑事责任不影响承担民事责任；民事主体的财产不足以支付的，优先用于承担民事责任。

第一百八十九条

当事人约定同一债务分期履行的，诉讼时效期间自最后一期履行期限届满之日起计算。","
                  法律依据：
                  《中华人民共和国民法典》第一百八十七条《中华人民共和国民法典》第一百八十九条                "
"
          问
          债务转让的法律后果是什么        ","债务转让的法律后果：

1、第三人取得债务人的法律地位：债务转让有效成立后，第三人取代原债务人，成为新债务人。原债务人脱离债的关系，由第三人直接向债权人承担债务；

2、抗辩权随之移转；

3、从债务一并随之移转。

根据《民法典》第五百五十一条的规定，债务人将债务的全部或者部分转移给第三人的，应当经债权人同意。

债务人或者第三人可以催告债权人在合理期限内予以同意，债权人未作表示的，视为不同意。","
                  法律依据：
                  《中华人民共和国民法典》第五百五十一条                "
"
          问
          对方不承认欠条怎么办        ","对方不承认欠条的，当事人可以收集相关证据向法院起诉，要求对方承担继续履行、采取补救措施或者赔偿损失等违约责任。如果双方都是自然人的，即使没有欠条，但借款合同自贷款人提供借款时成立。

《民法典》第五百七十七条

当事人一方不履行合同义务或者履行合同义务不符合约定的，应当承担继续履行、采取补救措施或者赔偿损失等违约责任。

第五百七十八条

当事人一方明确表示或者以自己的行为表明不履行合同义务的，对方可以在履行期限届满前请求其承担违约责任。

第六百七十九条

自然人之间的借款合同，自贷款人提供借款时成立。","
                  法律依据：
                  《中华人民共和国民法典》第五百七十七条《中华人民共和国民法典》第五百七十八条《中华人民共和国民法典》第六百七十九条                "
