字段1,字段2,字段3
"
          问
          智力四级残疾需指定监护人吗        ","智力四级残疾需指定监护人。

法律上规定，精神类和智力类残疾人，没有或者不具有完全民事行为能力的人员需要监护人。

人民法院指定监护人时，可以将民法典规定的配偶、父母、成年子女、其他近亲属、关系密切的其他亲属视为指定监护人的顺序。

根据《民法典》第二十八条规定，无民事行为能力或者限制民事行为能力的成年人，由下列有监护能力的人按顺序担任监护人：

（一）配偶；

（二）父母、子女；

（三）其他近亲属；

（四）其他愿意担任监护人的个人或者组织，但是须经被监护人住所地的居民委员会、村民委员会或者民政部门同意。","
                  法律依据：
                  《民法典》第二十八条

无民事行为能力或者限制民事行为能力的成年人，由下列有监护能力的人按顺序担任监护人：


（一）配偶；


（二）父母、子女；


（三）其他近亲属；


（四）其他愿意担任监护人的个人或者组织，但是须经被监护人住所地的居民委员会、村民委员会或者民政部门同意。                "
"
          问
          主张变更抚养关系需提交哪些证据        ","主张变更抚养关系需提交下列证据：

1、对方患有久治不愈的传染性疾病或者其他严重疾病的证据；

2、对方有抚养条件不尽抚养义务的证据；

3、证明对方有长期不良嗜好的证据；

4、对方虐待子女的证据。

根据《民法典》第一千零八十四条规定，父母与子女间的关系，不因父母离婚而消除。

离婚后，父母对于子女仍有抚养、教育、保护的权利和义务。

离婚后，不满两周岁的子女，以由母亲直接抚养为原则。已满两周岁的子女，父母双方对抚养问题协议不成的，由人民法院根据双方的具体情况，按照最有利于未成年子女的原则判决。子女已满八周岁的，应当尊重其真实意愿。","
                  法律依据：
                  《民法典》第一千零八十四条

父母与子女间的关系，不因父母离婚而消除。离婚后，子女无论由父或者母直接抚养，仍是父母双方的子女。

离婚后，父母对于子女仍有抚养、教育、保护的权利和义务。

离婚后，不满两周岁的子女，以由母亲直接抚养为原则。已满两周岁的子女，父母双方对抚养问题协议不成的，由人民法院根据双方的具体情况，按照最有利于未成年子女的原则判决。子女已满八周岁的，应当尊重其真实意愿。                "
"
          问
          夫妻结婚后父母给的财产是否属于共同财产        ","夫妻结婚后，父母给的财产是否属于共同财产，要根据具体情况而定：

1、如果父母给的财产没有明确表示赠与一方的，可以认定是对夫妻双方的赠与，属于夫妻共同财产；

2、如果父母给的财产明确表示是对一方的赠与，则是夫妻一方的个人财产，不属于共同财产。

根据《民法典》第一千零六十二条规定，夫妻在婚姻关系存续期间所得的下列财产，为夫妻的共同财产，归夫妻共同所有：

（一）工资、奖金、劳务报酬；

（二）生产、经营、投资的收益；

（三）知识产权的收益；

（四）继承或者受赠的财产，但是本法第一千零六十三条第三项规定的除外；

（五）其他应当归共同所有的财产。","
                  法律依据：
                  《民法典》第一千零六十二条

夫妻在婚姻关系存续期间所得的下列财产，为夫妻的共同财产，归夫妻共同所有：

（一）工资、奖金、劳务报酬；

（二）生产、经营、投资的收益；

（三）知识产权的收益；

（四）继承或者受赠的财产，但是本法第一千零六十三条第三项规定的除外；

（五）其他应当归共同所有的财产。

夫妻对共同财产，有平等的处理权。                "
"
          问
          继承有时间限制吗        ","继承有时间限制。

我国法律明确规定，继承开始后，继承人放弃继承的，应当在遗产处理前，以书面形式作出放弃继承的表示。受遗赠人应当在知道受遗赠后六十日内，作出接受或者放弃受遗赠的表示。

根据《民法典》第一千一百二十四条规定，继承开始后，继承人放弃继承的，应当在遗产处理前，以书面形式作出放弃继承的表示；没有表示的，视为接受继承。

受遗赠人应当在知道受遗赠后六十日内，作出接受或者放弃受遗赠的表示；到期没有表示的，视为放弃受遗赠。","
                  法律依据：
                  《民法典》第一千一百二十四条

继承开始后，继承人放弃继承的，应当在遗产处理前，以书面形式作出放弃继承的表示；没有表示的，视为接受继承。

受遗赠人应当在知道受遗赠后六十日内，作出接受或者放弃受遗赠的表示；到期没有表示的，视为放弃受遗赠。                "
"
          问
          可以放弃探望权吗        ","可以放弃探望权。

探望权也是见面交往权，是离婚后不直接抚养子女的父亲或母亲一方享有的与未成年子女探望、联系、会面、交往、短期共同生活的权利。

当事人可以通过可以写放弃探望权利的协议书，并到当地公证处公证的方式放弃探望权。

根据《民法典》第一千零八十六条规定，离婚后，不直接抚养子女的父或者母，有探望子女的权利，另一方有协助的义务。

行使探望权利的方式、时间由当事人协议；协议不成的，由人民法院判决。

父或者母探望子女，不利于子女身心健康的，由人民法院依法中止探望；中止的事由消失后，应当恢复探望。","
                  法律依据：
                  《民法典》第一千零八十六条

离婚后，不直接抚养子女的父或者母，有探望子女的权利，另一方有协助的义务。

行使探望权利的方式、时间由当事人协议；协议不成的，由人民法院判决。

父或者母探望子女，不利于子女身心健康的，由人民法院依法中止探望；中止的事由消失后，应当恢复探望。                "
"
          问
          无行为能力人该怎样行使继承权        ","无行为能力人的继承权，一般由其法定代理人代为行使。

法律上规定，无行为能力人的继承权、受遗赠权，由他的法定代理人代为行使。无民事行为能力人的一切民事活动，应完全由其法定代理人代理。

无民事行为能力人的法定代理人在行使继承权时，必须维护无民事行为能力人的合法权益。

根据《民法典》第三十四条规定，监护人的职责是代理被监护人实施民事法律行为，保护被监护人的人身权利、财产权利以及其他合法权益等。

监护人依法履行监护职责产生的权利，受法律保护。

监护人不履行监护职责或者侵害被监护人合法权益的，应当承担法律责任。","
                  法律依据：
                  《民法典》第三十四条

监护人的职责是代理被监护人实施民事法律行为，保护被监护人的人身权利、财产权利以及其他合法权益等。

监护人依法履行监护职责产生的权利，受法律保护。

监护人不履行监护职责或者侵害被监护人合法权益的，应当承担法律责任。

因发生突发事件等紧急情况，监护人暂时无法履行监护职责，被监护人的生活处于无人照料状态的，被监护人住所地的居民委员会、村民委员会或者民政部门应当为被监护人安排必要的临时生活照料措施。                "
"
          问
          彩礼纠纷的诉讼时效是多久        ","彩礼纠纷的诉讼时效是三年。

我国法律明确规定，如果发生彩礼纠纷的，则彩礼纠纷提起诉讼的期限为三年，诉讼时效期间自权利人知道或者应当知道权利受到损害以及义务人之日起计算。法律另有规定的，依照其规定。

根据《民法典》第一百八十八条规定，向人民法院请求保护民事权利的诉讼时效期间为三年。法律另有规定的，依照其规定。

诉讼时效期间自权利人知道或者应当知道权利受到损害以及义务人之日起计算。法律另有规定的，依照其规定。但是，自权利受到损害之日起超过二十年的，人民法院不予保护，有特殊情况的，人民法院可以根据权利人的申请决定延长。","
                  法律依据：
                  《民法典》第一百八十八条

向人民法院请求保护民事权利的诉讼时效期间为三年。法律另有规定的，依照其规定。

诉讼时效期间自权利人知道或者应当知道权利受到损害以及义务人之日起计算。法律另有规定的，依照其规定。但是，自权利受到损害之日起超过二十年的，人民法院不予保护，有特殊情况的，人民法院可以根据权利人的申请决定延长。                "
"
          问
          离婚后夫妻财产如何分割        ","离婚后夫妻财产的分割：

1、通过协议分割，即由夫妻双方通过协议决定财产的分割，原则上离婚财产是由男女双方均等分割的；

2、通过诉讼分割，当双方协议不成时，由法院按照照顾子女、女方和无过错方权益的原则判决分割。

根据《民法典》第一千零八十七条规定，离婚时，夫妻的共同财产由双方协议处理；协议不成的，由人民法院根据财产的具体情况，按照照顾子女、女方和无过错方权益的原则判决。

对夫或者妻在家庭土地承包经营中享有的权益等，应当按法予以保护。","
                  法律依据：
                  《民法典》第一千零八十七条

离婚时，夫妻的共同财产由双方协议处理；协议不成的，由人民法院根据财产的具体情况，按照照顾子女、女方和无过错方权益的原则判决。

对夫或者妻在家庭土地承包经营中享有的权益等，应当依法予以保护。                "
"
          问
          婚前财产婚后可以加名吗        ","婚前财产婚后可以加名。

一般情况下，只要经过婚前财产拥有者的同意，是可以在两人婚后加上另一方的名字。

一旦在属于婚前财产的产权证加配偶名字的，就是把婚前个人单独的财产的部分产权份额转移给配偶。

根据《民法典》第一千零六十三条规定，下列财产为夫妻一方的个人财产：

（一）一方的婚前财产；

（二）一方因受到人身损害获得的赔偿或者补偿；

（三）遗嘱或者赠与合同中确定只归一方的财产；

（四）一方专用的生活用品；

（五）其他应当归一方的财产。","
                  法律依据：
                  《民法典》第一千零六十三条

下列财产为夫妻一方的个人财产：

（一）一方的婚前财产；

（二）一方因受到人身损害获得的赔偿或者补偿；

（三）遗嘱或者赠与合同中确定只归一方的财产；

（四）一方专用的生活用品；

（五）其他应当归一方的财产。                "
"
          问
          离婚损害赔偿的请求权有哪些要求        ","离婚损害赔偿的请求权有以下要求：

1、夫妻一方必须具有重婚；与他人同居；实施家庭暴力；虐待、遗弃家庭成员等其他重大过错行为；

2、行使离婚损害赔偿的请求权的一方必须无过错；

3、请求权的行使必须以当事人有过错并因此导致离婚的为前提。

损害赔偿请求权的行使，须有符合法律规定的过错情形并因此导致离婚的。

根据《民法典》第一千零九十一条规定，有下列情形之一，导致离婚的，无过错方有权请求损害赔偿：

（一）重婚；

（二）与他人同居；

（三）实施家庭暴力；

（四）虐待、遗弃家庭成员；

（五）有其他重大过错。","
                  法律依据：
                  《中华人民共和国民法典》第一千零九十一条

有下列情形之一，导致离婚的，无过错方有权请求损害赔偿：

（一）重婚；

（二）与他人同居；

（三）实施家庭暴力；

（四）虐待、遗弃家庭成员；

（五）有其他重大过错。                "
"
          问
          争夺孩子抚养权需要什么证据        ","争夺孩子抚养权需要以下证据：

1、关于自己工作性质、工作环境和收入状况优越的证据；

2、体现自己所居住的环境有利于孩子身心健康成长的证据；

3、能说明自己能给予孩子更多陪伴和照顾的证据；

4、关于孩子想要与自己生活的意见的证据；

5、展示对方不适合抚养孩子的证据；

6、证明孩子有长期与自己生活的习惯的证据。

根据《民法典》第一千零八十四条第三款规定，离婚后，不满两周岁的子女，以由母亲直接抚养为原则。已满两周岁的子女，父母双方对抚养问题协议不成的，由人民法院根据双方的具体情况，按照最有利于未成年子女的原则判决。子女已满八周岁的，应当尊重其真实意愿。","
                  法律依据：
                  《民法典》第一千零八十四条第三款

离婚后，不满两周岁的子女，以由母亲直接抚养为原则。已满两周岁的子女，父母双方对抚养问题协议不成的，由人民法院根据双方的具体情况，按照最有利于未成年子女的原则判决。子女已满八周岁的，应当尊重其真实意愿。                "
"
          问
          遗产能分给孩子吗        ","遗产能分给孩子。

我国法律规定，自然人可以依照法律规定立遗嘱处分个人财产，并可以指定遗嘱执行人，因此，自然人可以立遗嘱将个人财产分给孩子。

如果没遗嘱的，按照法定继承办理，而子女是第一顺位法定继承人，所以遗产能分给孩子。

根据《民法典》第一千一百二十七条第一、二款规定，遗产按照下列顺序继承：

（一）第一顺序：配偶、子女、父母；

（二）第二顺序：兄弟姐妹、祖父母、外祖父母。

继承开始后，由第一顺序继承人继承，第二顺序继承人不继承；没有第一顺序继承人继承的，由第二顺序继承人继承。","
                  法律依据：
                  《民法典》第一千一百二十七条第一、二款

遗产按照下列顺序继承：

（一）第一顺序：配偶、子女、父母；

（二）第二顺序：兄弟姐妹、祖父母、外祖父母。

继承开始后，由第一顺序继承人继承，第二顺序继承人不继承；没有第一顺序继承人继承的，由第二顺序继承人继承。                "
"
          问
          离婚后抚养权应该怎么处理        ","离婚后抚养权应该由双方当事人协商处理；当双方协商不成时，由法院按照下列情况判决处理：

1、一般由母亲直接抚养两周岁以下的子女；

2、子女已满两周岁的，并且父母协商有异议的，由法院通过有利于子女健康成长的方式，选择父或母一方抚养子女；

3、已满八周岁的子女，可以自行选择抚养人。

根据《民法典》第一千零八十四条第三款规定，离婚后，不满两周岁的子女，以由母亲直接抚养为原则。已满两周岁的子女，父母双方对抚养问题协议不成的，由人民法院根据双方的具体情况，按照最有利于未成年子女的原则判决。子女已满八周岁的，应当尊重其真实意愿。","
                  法律依据：
                  《民法典》第一千零八十四条第三款

离婚后，不满两周岁的子女，以由母亲直接抚养为原则。已满两周岁的子女，父母双方对抚养问题协议不成的，由人民法院根据双方的具体情况，按照最有利于未成年子女的原则判决。子女已满八周岁的，应当尊重其真实意愿。                "
"
          问
          抚养费有什么法律规定的支付标准吗        ","根据《最高人民法院关于适用婚姻家庭编的解释（一)》第四十九条规定，抚养费的数额，可以根据子女的实际需要、父母双方的负担能力和当地的实际生活水平确定。

抚养费有以下法律规定的支付标准：

有固定收入的，抚养费一般可以按其月总收入的百分之二十至三十的比例给付。负担两个以上子女抚养费的，比例可以适当提高，但一般不得超过月总收入的百分之五十。

无固定收入的，抚养费的数额可以依据当年总收入或者同行业平均收入，参照上述比例确定。

有特殊情况的，可以适当提高或者降低上述比例。","
                  法律依据：
                  《最高人民法院关于适用婚姻家庭编的解释（一)》第四十九条

抚养费的数额，可以根据子女的实际需要、父母双方的负担能力和当地的实际生活水平确定。

有固定收入的，抚养费一般可以按其月总收入的百分之二十至三十的比例给付。负担两个以上子女抚养费的，比例可以适当提高，但一般不得超过月总收入的百分之五十。

无固定收入的，抚养费的数额可以依据当年总收入或者同行业平均收入，参照上述比例确定。

有特殊情况的，可以适当提高或者降低上述比例。                "
"
          问
          非婚生子女母亲死亡的父亲要给抚养费吗        ","非婚生子女母亲死亡的，父亲一般要给抚养费。

我国法律明确规定，非婚生子女与婚生子女无论在生活上，还是法律上都是享有同等权利的，父母对其都有抚养的义务。

不直接抚养非婚生子女的生父或者生母，应适当负担非婚生子女的抚养费。

根据《民法典》第一千零七十一条规定，非婚生子女享有与婚生子女同等的权利，任何组织或者个人不得加以危害和歧视。

不直接抚养非婚生子女的生父或者生母，应当负担未成年子女或者不能独立生活的成年子女的抚养费。","
                  法律依据：
                  《民法典》第一千零七十一条

非婚生子女享有与婚生子女同等的权利，任何组织或者个人不得加以危害和歧视。

不直接抚养非婚生子女的生父或者生母，应当负担未成年子女或者不能独立生活的成年子女的抚养费。                "
"
          问
          法律对遗产继承诉讼是如何规定的        ","根据《民法典》第一千一百三十二条、第一千一百四十四条规定，法律对遗产继承诉讼的规定如下：

继承人应当本着互谅互让、和睦团结的精神，协商处理继承问题。遗产分割的时间、办法和份额，由继承人协商确定；协商不成的，可以由人民调解委员会调解或者向人民法院提起诉讼。

遗嘱继承或者遗赠附有义务的，继承人或者受遗赠人应当履行义务。没有正当理由不履行义务的，经利害关系人或者有关组织请求，人民法院可以取消其接受附义务部分遗产的权利。","
                  法律依据：
                  《中华人民共和国民法典》第一千一百三十二条

继承人应当本着互谅互让、和睦团结的精神，协商处理继承问题。遗产分割的时间、办法和份额，由继承人协商确定；协商不成的，可以由人民调解委员会调解或者向人民法院提起诉讼。

第一千一百四十四条

遗嘱继承或者遗赠附有义务的，继承人或者受遗赠人应当履行义务。没有正当理由不履行义务的，经利害关系人或者有关组织请求，人民法院可以取消其接受附义务部分遗产的权利。                "
"
          问
          孩子多大可以自己选择抚养权        ","孩子已满八周岁的，可以自己选择抚养权归属父方或母方。

我国法律明确规定，子女已满八周岁的，应当尊重其真实意愿。即已满八周岁的子女，可以自己选择愿随哪一方生活，并且父母和法院都应当听取其的意愿。

根据《民法典》第一千零八十四条规定，父母与子女间的关系，不因父母离婚而消除。离婚后，子女无论由父或者母直接抚养，仍是父母双方的子女。

离婚后，不满两周岁的子女，以由母亲直接抚养为原则。已满两周岁的子女，父母双方对抚养问题协议不成的，由人民法院根据双方的具体情况，按照最有利于未成年子女的原则判决。子女已满八周岁的，应当尊重其真实意愿。","
                  法律依据：
                  《民法典》第一千零八十四条

父母与子女间的关系，不因父母离婚而消除。离婚后，子女无论由父或者母直接抚养，仍是父母双方的子女。

离婚后，父母对于子女仍有抚养、教育、保护的权利和义务。

离婚后，不满两周岁的子女，以由母亲直接抚养为原则。已满两周岁的子女，父母双方对抚养问题协议不成的，由人民法院根据双方的具体情况，按照最有利于未成年子女的原则判决。子女已满八周岁的，应当尊重其真实意愿。                "
"
          问
          诉讼离婚的详细条件有哪些        ","诉讼离婚的详细条件有：

1、离婚诉讼的提起，必须是婚姻关系的一方当事人，其他任何第三人均不得以诉讼当事人的身份提出离婚诉讼；

2、提起离婚诉讼的一方，必须与被告方具有合法夫妻关系，即双方必须是合法配偶；

3、提起离婚诉讼的一方，必须具有完全的民事行为能力，不具备完全民事行为能力的人不能提起诉讼离婚。

根据《民事诉讼法》第一百一十九条规定，起诉必须符合下列条件：

（一）原告是与本案有直接利害关系的公民、法人和其他组织；

（二）有明确的被告；

（三）有具体的诉讼请求和事实、理由；

（四）属于人民法院受理民事诉讼的范围和受诉人民法院管辖。","
                  法律依据：
                  《民事诉讼法》第一百一十九条

起诉必须符合下列条件：

（一）原告是与本案有直接利害关系的公民、法人和其他组织；

（二）有明确的被告；

（三）有具体的诉讼请求和事实、理由；

（四）属于人民法院受理民事诉讼的范围和受诉人民法院管辖。                "
"
          问
          分居满两年能否解除婚姻关系        ","分居满两年不能解除婚姻关系。

法律上规定，若夫妻双方不办理离婚手续，无论分居多久都不能解除婚姻关系。我国解除婚姻关系只有协议离婚和诉讼离婚这两种方式。

一般情况下，如果夫妻双方因感情不和分居满二年，且一方提起诉讼离婚的，以及调解无效的，法院应当准予离婚。

根据《民法典》第一千零七十八条规定，婚姻登记机关查明双方确实是自愿离婚，并已经对子女抚养、财产以及债务处理等事项协商一致的，予以登记，发给离婚证。

第一千零七十九条第三款第四项规定，因感情不和分居满二年，调解无效的，应当准予离婚。","
                  法律依据：
                  《民法典》第一千零七十八条

婚姻登记机关查明双方确实是自愿离婚，并已经对子女抚养、财产以及债务处理等事项协商一致的，予以登记，发给离婚证。

第一千零七十九条第三款第四项

有下列情形之一，调解无效的，应当准予离婚：

（四）因感情不和分居满二年。                "
"
          问
          法院会根据什么判定孩子的抚养权        ","法院会根据以下因素判定孩子的抚养权：

1、孩子的年龄；

2、孩子的真实意愿；

3、夫妻双方的经济状况；

4、双方当事人的工作性质；

5、当事人所居住的生活环境；

6、夫妻双方的学历和年龄；

7、双方各自的家庭成员和家庭氛围。

根据《民法典》第一千零八十四条第三款规定，离婚后，不满两周岁的子女，以由母亲直接抚养为原则。已满两周岁的子女，父母双方对抚养问题协议不成的，由人民法院根据双方的具体情况，按照最有利于未成年子女的原则判决。子女已满八周岁的，应当尊重其真实意愿。","
                  法律依据：
                  《民法典》第一千零八十四条第三款

离婚后，不满两周岁的子女，以由母亲直接抚养为原则。已满两周岁的子女，父母双方对抚养问题协议不成的，由人民法院根据双方的具体情况，按照最有利于未成年子女的原则判决。子女已满八周岁的，应当尊重其真实意愿。                "
"
          问
          离婚诉前调解程序是什么        ","离婚诉前调解程序是对夫妻一方要求离婚的，可以先经有关部门进行调解。

诉前调解主要包括两种情形，一是为不具有法院审理性质，即由在法院立案庭设立的人民调解工作室来调解；二是为具有法院审理性质，即由法院立案庭的法官来调解或法官与人民陪审员、人民调解员共同来进行调解。

根据《民法典》第一千零七十九条第一、二款规定，夫妻一方要求离婚的，可以由有关组织进行调解或者直接向人民法院提起离婚诉讼。

人民法院审理离婚案件，应当进行调解；如果感情确已破裂，调解无效的，应当准予离婚。","
                  法律依据：
                  《民法典》第一千零七十九条第一、二款

夫妻一方要求离婚的，可以由有关组织进行调解或者直接向人民法院提起离婚诉讼。

人民法院审理离婚案件，应当进行调解；如果感情确已破裂，调解无效的，应当准予离婚。                "
"
          问
          协议离婚后一方当事人反悔怎么办        ","协议离婚后一方当事人反悔，应当向原婚姻登记机关申请解决。

如果是双方都自愿恢复婚姻关系的，可以共同到一方户籍所在地婚姻登记机关申请复婚登记。

一般情况下，如果双方是通过协议离婚，且已办完了离婚手续，当事人任何一方不能反悔。如果双方协议离婚后就财产分割问题反悔，可以向法院请求请求变更或者撤销财产分割协议。

根据《民法典》第一千零八十三条规定，离婚后，男女双方自愿恢复婚姻关系的，应当到婚姻登记机关重新进行结婚登记。","
                  法律依据：
                  《中华人民共和国民法典》第一千零八十三条

离婚后，男女双方自愿恢复婚姻关系的，应当到婚姻登记机关重新进行结婚登记。                "
"
          问
          夫妻一方不幸离世共同财产如何分配        ","夫妻一方不幸离世共同财产的分配：

1、先将共同所有的财产的一半分出为另一方所有，其余的为被继承人的遗产；

2、如果有遗嘱的，按照遗嘱分配；

3、没有遗嘱的，按照法定顺序分配：

（1）配偶、子女、父母作为第一顺序继承人分配；

（2）兄弟姐妹、祖父母、外祖父母作为第二顺序继承人分配。

根据《民法典》第一千一百五十三条规定，夫妻共同所有的财产，除有约定的外，遗产分割时，应当先将共同所有的财产的一半分出为配偶所有，其余的为被继承人的遗产。

遗产在家庭共有财产之中的，遗产分割时，应当先分出他人的财产。","
                  法律依据：
                  《民法典》第一千一百五十三条

夫妻共同所有的财产，除有约定的外，遗产分割时，应当先将共同所有的财产的一半分出为配偶所有，其余的为被继承人的遗产。

遗产在家庭共有财产之中的，遗产分割时，应当先分出他人的财产。                "
"
          问
          遭遇家庭暴力到哪里去做伤情鉴定        ","遭遇家庭暴力，可以到家庭暴力伤情鉴定中心去做伤情鉴定，或者委托妇联办理伤情鉴定工作。

家庭暴力伤情鉴定中心是通过为遭受家庭暴力侵害的妇女、儿童、老人提供伤情鉴定，为行政、司法机关调处、审理家庭暴力伤害事件提供科学依据，保护受害者合法权益。

根据《反家庭暴力法》第五条规定，反家庭暴力工作遵循预防为主，教育、矫治与惩处相结合原则。

反家庭暴力工作应当尊重受害人真实意愿，保护当事人隐私。

未成年人、老年人、残疾人、孕期和哺乳期的妇女、重病患者遭受家庭暴力的，应当给予特殊保护。","
                  法律依据：
                  《反家庭暴力法》第五条

反家庭暴力工作遵循预防为主，教育、矫治与惩处相结合原则。

反家庭暴力工作应当尊重受害人真实意愿，保护当事人隐私。

未成年人、老年人、残疾人、孕期和哺乳期的妇女、重病患者遭受家庭暴力的，应当给予特殊保护。                "
"
          问
          著作权、专利权中的财产权利能继承吗        ","著作权、专利权中的财产权利能继承。

法律上规定，公民的著作权、专利权涉及的人身权利属著作权所有，不能列入遗产，不能继承。但是个人著作权、专利权的财产权利，可列入遗产继承范围。

如果法人或非法人单位为著作权人、专利权人时，其财产权利不属于公民个人，也不能作为遗产被继承。

根据《民法典》第一千一百二十二条规定，遗产是自然人死亡时遗留的个人合法财产。

依照法律规定或者根据其性质不得继承的遗产，不得继承。","
                  法律依据：
                  《中华人民共和国民法典》第一千一百二十二条

遗产是自然人死亡时遗留的个人合法财产。

依照法律规定或者根据其性质不得继承的遗产，不得继承。                "
"
          问
          离婚对方不要抚养费以后有探视权吗        ","离婚对方不要抚养费，离婚后仍有探视权。

一般而言，是否支付抚养费与探视权没有直接的联系。抚养费是支付给孩子生活等方面的费用，照顾孩子的一方可以自己放弃，是抚养孩子的一方的权利。

探视权属法定的权利，属于身份权的范畴，是基于父母子女关系而享有的身份权，是不能剥夺的。

根据《民法典》第一千零八十六条规定，离婚后，不直接抚养子女的父或者母，有探望子女的权利，另一方有协助的义务。

行使探望权利的方式、时间由当事人协议；协议不成的，由人民法院判决。

父或者母探望子女，不利于子女身心健康的，由人民法院依法中止探望；中止的事由消失后，应当恢复探望。","
                  法律依据：
                  《民法典》第一千零八十六条

离婚后，不直接抚养子女的父或者母，有探望子女的权利，另一方有协助的义务。

行使探望权利的方式、时间由当事人协议；协议不成的，由人民法院判决。

父或者母探望子女，不利于子女身心健康的，由人民法院依法中止探望；中止的事由消失后，应当恢复探望。                "
"
          问
          失踪人员的财产可以作为遗产处理吗        ","失踪人员的财产不可以作为遗产处理。

我国法律明文规定，继承是从被继承人死亡开始的，而失踪人只是下落不明，不能确认其死亡。

因此，公民失踪后，其财产由其配偶、成年子女、父母或者其他愿意担任财产代管人的人代管，不可以作为遗产处理。

根据《民法典》第四十二条规定，失踪人的财产由其配偶、成年子女、父母或者其他愿意担任财产代管人的人代管。

代管有争议，没有前款规定的人，或者前款规定的人无代管能力的，由人民法院指定的人代管。","
                  法律依据：
                  《中华人民共和国民法典》第四十二条

失踪人的财产由其配偶、成年子女、父母或者其他愿意担任财产代管人的人代管。

代管有争议，没有前款规定的人，或者前款规定的人无代管能力的，由人民法院指定的人代管。                "
"
          问
          继母是否能取得继子女的监护权        ","继母能取得继子女的监护权，但前提是以取得婚姻关系为前提，且继母和继子女之间形成事实的扶养关系。

法律上规定，形成扶养关系的继父母和继子女之间的权利义务关系，适用生父母和生子女之间权利义务关系的规定。

根据《民法典》第二十七条规定，父母是未成年子女的监护人。

未成年人的父母已经死亡或者没有监护能力的，由下列有监护能力的人按顺序担任监护人：

（一）祖父母、外祖父母；

（二）兄、姐；

（三）其他愿意担任监护人的个人或者组织，但是须经未成年人住所地的居民委员会、村民委员会或者民政部门同意。","
                  法律依据：
                  《民法典》第二十七条

父母是未成年子女的监护人。

未成年人的父母已经死亡或者没有监护能力的，由下列有监护能力的人按顺序担任监护人：

（一）祖父母、外祖父母；

（二）兄、姐；

（三）其他愿意担任监护人的个人或者组织，但是须经未成年人住所地的居民委员会、村民委员会或者民政部门同意。                "
"
          问
          谁可以提出变更抚养费        ","父母双方任何一方都可以提出变更抚养费。

我国法律明确规定，变更抚育费原则上限于子女提出，或者根据子女利益需要由一方以子女的名义提出，其权利主体只能是子女。

即子女可以向已离婚的父母任何一方，请求超过原协议或判决所定抚育费数额。

根据《民法典》第一千零八十五条规定，离婚后，子女由一方直接抚养的，另一方应当负担部分或者全部抚养费。负担费用的多少和期限的长短，由双方协议；协议不成的，由法院判决。

前款规定的协议或者判决，不妨碍子女在必要时向父母任何一方提出超过协议或者判决原定数额的合理要求。","
                  法律依据：
                  《民法典》第一千零八十五条

离婚后，子女由一方直接抚养的，另一方应当负担部分或者全部抚养费。负担费用的多少和期限的长短，由双方协议；协议不成的，由人民法院判决。

前款规定的协议或者判决，不妨碍子女在必要时向父母任何一方提出超过协议或者判决原定数额的合理要求。                "
"
          问
          探望协议能约定违约金吗        ","探望协议不能约定违约金。

探望协议的签订是基于婚姻特定人身关系而产生的权利义务的约定，具有明显的人身属性，并非普通合同关系。

法律上规定，合同是民事主体之间设立、变更、终止民事法律关系的协议。婚姻、收养、监护等有关身份关系的协议，适用有关该身份关系的法律规定。

根据《民法典》第一千零八十六条规定，离婚后，不直接抚养子女的父或者母，有探望子女的权利，另一方有协助的义务。

行使探望权利的方式、时间由当事人协议；协议不成的，由人民法院判决。

父或者母探望子女，不利于子女身心健康的，由人民法院依法中止探望；中止的事由消失后，应当恢复探望。","
                  法律依据：
                  《民法典》第一千零八十六条

离婚后，不直接抚养子女的父或者母，有探望子女的权利，另一方有协助的义务。

行使探望权利的方式、时间由当事人协议；协议不成的，由人民法院判决。

父或者母探望子女，不利于子女身心健康的，由人民法院依法中止探望；中止的事由消失后，应当恢复探望。                "
"
          问
          协议离婚要走什么程序呢        ","协议离婚要走以下程序：

1、夫妻双方自愿离婚的，亲自到一方户口所在地的婚姻登记机关申请离婚；

2、提交身份证、户口本、离婚协议书和结婚证等相关资料；

3、婚姻登记员进行审查，双方符合离婚条件的，且是完全自愿离婚的；

4、双方经过三十日的离婚冷静期，仍要离婚的；

5、发给离婚证。

根据《民法典》第一千零七十六条规定，夫妻双方自愿离婚的，应当签订书面离婚协议，并亲自到婚姻登记机关申请离婚登记。

离婚协议应当载明双方自愿离婚的意思表示和对子女抚养、财产以及债务处理等事项协商一致的意见。","
                  法律依据：
                  《民法典》第一千零七十六条

夫妻双方自愿离婚的，应当签订书面离婚协议，并亲自到婚姻登记机关申请离婚登记。

离婚协议应当载明双方自愿离婚的意思表示和对子女抚养、财产以及债务处理等事项协商一致的意见。                "
